,dataset,prefix,sampling,encoding,classifier,train_type,status
62,BPI11/f1/0-80_80-100,50,all_in_one,complex,multinomialNB,traditional,OK
63,BPI11/f1/40-60_80-100,50,all_in_one,complex,multinomialNB,incremental,OK
64,BPI11/f1/60-80_80-100,50,all_in_one,complex,multinomialNB,incremental,OK
65,BPI11/f1/0-40_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
66,BPI11/f1/0-60_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
67,BPI11/f1/0-80_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
68,BPI11/f1/40-60_80-100,50,all_in_one,simpleIndex,multinomialNB,incremental,OK
69,BPI11/f1/60-80_80-100,50,all_in_one,simpleIndex,multinomialNB,incremental,OK
70,BPI11/f1/0-40_80-100,50,all_in_one,complex,SGDClassifier,traditional,OK
71,BPI11/f1/0-60_80-100,50,all_in_one,complex,SGDClassifier,traditional,OK
72,BPI11/f1/0-80_80-100,50,all_in_one,complex,SGDClassifier,traditional,OK
73,BPI11/f1/40-60_80-100,50,all_in_one,complex,SGDClassifier,incremental,OK
74,BPI11/f1/60-80_80-100,50,all_in_one,complex,SGDClassifier,incremental,OK
75,BPI11/f1/0-40_80-100,50,all_in_one,simpleIndex,SGDClassifier,traditional,OK
76,BPI11/f1/0-60_80-100,50,all_in_one,simpleIndex,SGDClassifier,traditional,OK
77,BPI11/f1/0-80_80-100,50,all_in_one,simpleIndex,SGDClassifier,traditional,OK
78,BPI11/f1/40-60_80-100,50,all_in_one,simpleIndex,SGDClassifier,incremental,OK
79,BPI11/f1/60-80_80-100,50,all_in_one,simpleIndex,SGDClassifier,incremental,OK
80,BPI11/f1/0-40_80-100,50,all_in_one,complex,perceptron,traditional,OK
81,BPI11/f1/0-60_80-100,50,all_in_one,complex,perceptron,traditional,OK
82,BPI11/f1/0-80_80-100,50,all_in_one,complex,perceptron,traditional,OK
83,BPI11/f1/40-60_80-100,50,all_in_one,complex,perceptron,incremental,OK
84,BPI11/f1/60-80_80-100,50,all_in_one,complex,perceptron,incremental,OK
85,BPI11/f1/0-40_80-100,50,all_in_one,simpleIndex,perceptron,traditional,OK
86,BPI11/f1/0-60_80-100,50,all_in_one,simpleIndex,perceptron,traditional,OK
87,BPI11/f1/0-80_80-100,50,all_in_one,simpleIndex,perceptron,traditional,OK
88,BPI11/f1/40-60_80-100,50,all_in_one,simpleIndex,perceptron,incremental,OK
89,BPI11/f1/60-80_80-100,50,all_in_one,simpleIndex,perceptron,incremental,OK
90,BPI11/f1/0-40_80-100,70,all_in_one,complex,multinomialNB,traditional,OK
91,BPI11/f1/0-60_80-100,70,all_in_one,complex,multinomialNB,traditional,OK
92,BPI11/f1/0-80_80-100,70,all_in_one,complex,multinomialNB,traditional,OK
93,BPI11/f1/40-60_80-100,70,all_in_one,complex,multinomialNB,incremental,OK
94,BPI11/f1/60-80_80-100,70,all_in_one,complex,multinomialNB,incremental,OK
95,BPI11/f1/0-40_80-100,70,all_in_one,simpleIndex,multinomialNB,traditional,OK
96,BPI11/f1/0-60_80-100,70,all_in_one,simpleIndex,multinomialNB,traditional,OK
97,BPI11/f1/0-80_80-100,70,all_in_one,simpleIndex,multinomialNB,traditional,OK
98,BPI11/f1/40-60_80-100,70,all_in_one,simpleIndex,multinomialNB,incremental,OK
99,BPI11/f1/60-80_80-100,70,all_in_one,simpleIndex,multinomialNB,incremental,OK
100,BPI11/f1/0-40_80-100,70,all_in_one,complex,SGDClassifier,traditional,OK
101,BPI11/f1/0-60_80-100,70,all_in_one,complex,SGDClassifier,traditional,OK
102,BPI11/f1/0-80_80-100,70,all_in_one,complex,SGDClassifier,traditional,OK
103,BPI11/f1/40-60_80-100,70,all_in_one,complex,SGDClassifier,incremental,OK
104,BPI11/f1/60-80_80-100,70,all_in_one,complex,SGDClassifier,incremental,OK
105,BPI11/f1/0-40_80-100,70,all_in_one,simpleIndex,SGDClassifier,traditional,OK
106,BPI11/f1/0-60_80-100,70,all_in_one,simpleIndex,SGDClassifier,traditional,OK
107,BPI11/f1/0-80_80-100,70,all_in_one,simpleIndex,SGDClassifier,traditional,OK
108,BPI11/f1/40-60_80-100,70,all_in_one,simpleIndex,SGDClassifier,incremental,OK
109,BPI11/f1/60-80_80-100,70,all_in_one,simpleIndex,SGDClassifier,incremental,OK
110,BPI11/f1/0-40_80-100,70,all_in_one,complex,perceptron,traditional,OK
111,BPI11/f1/0-60_80-100,70,all_in_one,complex,perceptron,traditional,OK
112,BPI11/f1/0-80_80-100,70,all_in_one,complex,perceptron,traditional,OK
113,BPI11/f1/40-60_80-100,70,all_in_one,complex,perceptron,incremental,OK
114,BPI11/f1/60-80_80-100,70,all_in_one,complex,perceptron,incremental,OK
115,BPI11/f1/0-40_80-100,70,all_in_one,simpleIndex,perceptron,traditional,OK
116,BPI11/f1/0-60_80-100,70,all_in_one,simpleIndex,perceptron,traditional,OK
117,BPI11/f1/0-80_80-100,70,all_in_one,simpleIndex,perceptron,traditional,OK
118,BPI11/f1/40-60_80-100,70,all_in_one,simpleIndex,perceptron,incremental,OK
119,BPI11/f1/60-80_80-100,70,all_in_one,simpleIndex,perceptron,incremental,OK
120,BPI11/f2/0-40_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
121,BPI11/f2/0-60_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
122,BPI11/f2/0-80_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
123,BPI11/f2/40-60_80-100,10,all_in_one,complex,multinomialNB,incremental,OK
124,BPI11/f2/60-80_80-100,10,all_in_one,complex,multinomialNB,incremental,OK
125,BPI11/f2/0-40_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
126,BPI11/f2/0-60_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
127,BPI11/f2/0-80_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
128,BPI11/f2/40-60_80-100,10,all_in_one,simpleIndex,multinomialNB,incremental,OK
129,BPI11/f2/60-80_80-100,10,all_in_one,simpleIndex,multinomialNB,incremental,OK
130,BPI11/f2/0-40_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
